ID,LAT,LON,Location,state,tz
[EGE],39.65,106.92,Eagle,CO,-7
[APA],39.57,104.83,Englewood,CO,-7
[FCS],38.68,104.77,Fort Carson,CO,-7
[FSR],39.57,105.5,Fraser,CO,-7
[FNL],40.45,105.02,Ft Col/Lovel,CO,-7
[FCL],40.58,105.08,Ft Collins,CO,-7
[GJT],39.12,108.53,Grand Jct,CO,-7
[GXY],40.43,104.63,Greeley-Wld,CO,-7
[2V9],38.55,106.93,Gunnison,CO,-7
[GUC],38.55,106.92,Gunnison,CO,-7
[LHX],38.05,103.52,La Junta,CO,-7
[4LJ],38.12,102.6,Lamar,CO,-7
[LXV],39.25,106.3,Leadville,CO,-7
[LIC],39.18,103.7,Limon,CO,-7
[6V8],38.5,107.88,Montrose,CO,-7
[MTJ],38.5,107.88,Montrose,CO,-7
[PUB],38.28,104.52,Pueblo,CO,-7
[1V1],39.53,107.8,Rifle,CO,-7
[S29],38.53,106.05,Salida,CO,-7
[SBS],40.48,106.82,Steamboat Sp,CO,-7
[TAD],37.25,104.33,Trinidad,CO,-7
[C96],40,105.87,Winter Park,CO,-7
[BDR],41.17,73.13,Bridgeport,CT,-5
[DXR],41.37,73.48,Danbury,CT,-5
[GON],41.33,72.05,Groton,CT,-5
[HFD],41.73,72.65,Hartford,CT,-5
[30N],41.22,72.67,New Haven,CT,-5
[HVN],41.27,72.88,New Haven,CT,-5
[N11],41.27,72.9,New Haven,CT,-5
[18N],41.3,72.08,New London,CT,-5
[BDL],41.93,72.68,Windsor Loc,CT,-5
[DOV],39.13,75.47,Dover,DE,-5
[ILG],39.67,75.6,Wilmington,DE,-5
[IAD],38.95,77.46,Washington/Dulles,DC,-5
[DCA],38.85,77.04,Washington/Natl,DC,-5
[WHS],38.897957,-77.03656, White House ,DC,-5
[USC],38.889931,-77.009003,US Capital Building, DC ,-5
[AQQ],29.73,85.03,Apalachicola,FL,-6
[90J],29.12,81.57,Astor NAS,FL,-5
[AGR],28.08,81.55,Avon Park G,FL,-5
[XMR],28.47,80.55,Cape Canaveral,FL,-5
[NZC],30.22,81.88,Cecil,FL,-5
[CEW],30.78,86.52,Crestview,FL,-5
[CTY],29.62,83.1,Cross City,FL,-5
[DAB],29.18,81.05,Daytona Bch,FL,-5
[EGI],30.65,86.52,Duke Fld,FL,-6
[VPS],30.48,86.53,Eglin AFB,FL,-6
[X91],27.6,82.77,Egmont Key,FL,-5
[FXE],26.13,80.13,Fort Lauderd,FL,-5
[FMY],26.58,81.87,Fort Myers,FL,-5
[FLL],26.07,80.15,Ft Lauderdale,FL,-5
[RSW],26.65,81.87,Ft Myers,FL,-5
[GNV],29.68,82.27,Gainesville,FL,-5
[HST],25.48,80.38,Homestead,FL,-5
[HRT],30.43,86.68,Hurlburt Fld,FL,-6
[CRG],30.33,81.52,Jacksonville,FL,-5
[JAX],30.5,81.7,Jacksonville,FL,-5
[NIP],30.23,81.68,Jacksonville,FL,-5
[EYW],24.55,81.75,Key West,FL,-5
[NQX],24.57,81.68,Key West NAS,FL,-5
[LAL],28.03,81.95,Lakeland,FL,-5
[MCF],27.85,82.52,Macdill AFB,FL,-5
[MAI],30.84,85.18,Marianna,FL,-5
[NRB],30.4,81.42,Mayport NAS,FL,-5
[MLB],28.1,80.63,Melbourne,FL,-5
[MIA],25.82,80.28,Miami Intl,FL,-5
[OPF],25.92,80.28,Miami/Opa,FL,-5
[TMB],25.65,80.43,Miami/Tamiami,FL,-5
[APF],26.13,81.8,Naples,FL,-5
[X68],28.62,80.68,Nasa Shuttle,FL,-5
[MCO],28.43,81.32,Orlando,FL,-5
[ORL],28.55,81.33,Orlando,FL,-5
[PFN],30.2,85.68,Panama City,FL,-5
[COF],28.23,80.6,Patrick AFB,FL,-5
[NPA],30.35,87.32,Pensacola,FL,-6
[PNS],30.47,87.2,Pensacola,FL,-6
[TBW],27.97,82.6,Ruskin,FL,-5
[PIE],27.92,82.68,Saint Peters,FL,-5
[SFB],28.78,81.25,Sanford,FL,-5
[SRQ],27.4,82.55,Sarasota,FL,-5
[TLH],30.38,84.37,Tallahassee,FL,-6
[TPA],27.97,82.53,Tampa Intl,FL,-5
[TIX],28.52,80.8,Titusville,FL,-5
[PAM],30.07,85.58,Tyndall AFB,FL,-6
[VRB],27.65,80.42,Vero Beach,FL,-5
[PBI],26.68,80.12,W Palm Beach,FL,-5
[NSE],30.72,87.02,Whiting Fld,FL,-6
[ABY],31.53,84.18,Albany,GA,-5
[AMG],31.53,82.52,Alma,GA,-5
[AHN],33.95,83.32,Athens,GA,-5
[ATL],33.65,84.42,Atlanta,GA,-5
[ATL],33.65,84.42,Atlanta,GA,-5
[PDK],33.88,84.3,Atlanta/Dklb,GA,-5
[FTY],33.78,84.52,Atlanta/Fltn,GA,-5
[AGS],33.37,81.97,Augusta/Bush,GA,-5
[SSI],31.15,81.38,Brunswick,GA,-5
[CSG],32.52,84.93,Columbus,GA,-5
[MGE],33.92,84.52,Dobbins AFB,GA,-5
[MGF],34.53,84.87,Dobbins AFB,GA,-5
[LSF],32.33,85,Fort Benning,GA,-5
[LHW],31.88,81.57,Ft Stewart,GA,-5
[SVN],32.02,81.15,Hunter Aaf,GA,-5
[LGC],33.01,85.07,La Grange,GA,-5
[MCN],32.7,83.65,Macon/Lewis,GA,-5
